account,date,trade_count,avg_trade_size_usd,total_exposure_usd,avg_fee,daily_pnl,win_rate,pnl_count,long_ratio,drawdown_proxy,value,classification,sentiment
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,230,131.2383043478261,30184.81,0.07363882430434782,13190.248859,0.9871794871794872,156.0,0.2,0.0,83.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,181,112.67668508287292,20394.48,0.03705232226519337,4454.939378,0.9873417721518988,79.0,0.43646408839779005,0.0,87.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,191,124.92068062827224,23859.85,0.03716406387434555,3624.489655,0.9411764705882353,85.0,0.42408376963350786,0.0,81.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,204,197.00485294117647,40188.99,0.06786303715686275,1525.329937,0.851063829787234,94.0,0.47549019607843135,0.0,75.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,194,289.6046907216495,56183.31,0.10388827139175258,7812.716373,0.9173553719008265,121.0,0.23711340206185566,0.0,74.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,107,215.33785046728974,23041.15,0.07641891570093458,7465.899936,0.9818181818181818,55.0,0.22429906542056074,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,79,174.83481012658228,13811.95,0.06049524443037975,1174.025529,0.9761904761904762,42.0,0.2911392405063291,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,95,212.30473684210526,20168.95,0.07776153168421053,122.889996,0.9666666666666667,30.0,0.6736842105263158,0.0,70.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,48,282.42354166666667,13556.33,0.08272185354166667,1555.956456,0.9375,16.0,0.125,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,66,284.1157575757576,18751.64,0.10182130227272727,1530.919365,0.8333333333333334,36.0,0.09090909090909091,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,84,223.8904761904762,18806.8,0.0756806094047619,101.860928,0.9032258064516129,31.0,0.5595238095238095,0.0,79.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-27,73,221.81794520547948,16192.710000000001,0.08068506,388.366016,1.0,26.0,0.3561643835616438,0.0,74.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-28,63,166.3415873015873,10479.52,0.05758069634920635,506.512551,0.7666666666666667,30.0,0.31746031746031744,0.0,72.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-29,34,140.99176470588236,4793.72,0.04924379382352941,115.51218300000001,1.0,17.0,0.058823529411764705,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-30,125,455.63544,56954.43,0.12751833896,255.808312,0.9767441860465116,43.0,0.584,0.0,65.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-31,107,1121.107570093458,119958.51,0.34668068588785045,496.221792,0.9696969696969697,33.0,0.4392523364485981,0.0,64.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-01,59,263.3476271186441,15537.51,0.07130230983050848,109.82694000000001,1.0,21.0,0.423728813559322,0.0,66.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-02,101,217.69336633663366,21987.03,0.07639491089108912,416.546688,0.9787234042553191,47.0,0.019801980198019802,0.0,70.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-03,69,217.15115942028987,14983.43,0.07561736144927536,250.581483,0.9230769230769231,39.0,0.17391304347826086,0.0,74.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-04,81,156.68296296296296,12691.32,0.054952098765432104,232.66549799999999,0.8333333333333334,48.0,0.07407407407407407,0.0,73.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-05,82,101.1840243902439,8297.09,0.03541392682926829,87.752181,0.9361702127659575,47.0,0.0,0.0,72.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-06,80,82.075375,6566.03,0.0272598,114.68421000000001,1.0,21.0,0.0,0.0,76.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-07,103,103.70087378640777,10681.19,0.03730315844660194,267.846227,0.9473684210526315,76.0,0.1262135922330097,0.0,78.0,Extreme Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-08,149,489.99302013422823,73008.96,0.1719768709395973,651.469355,0.9139784946236559,93.0,0.3422818791946309,0.0,70.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-09,103,728.4078640776698,75026.01,0.2585338923300971,571.688942,1.0,49.0,0.5048543689320388,0.0,69.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-11,37,484.2756756756757,17918.2,0.16949613513513515,157.228232,0.8888888888888888,18.0,0.3783783783783784,0.0,69.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-12,63,446.3861904761905,28122.33,0.1516171188888889,274.773033,0.975,40.0,0.31746031746031744,0.0,62.0,Greed,GREED
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-01-13,61,561.3780327868852,34244.06,0.17543305524590164,53.846609,1.0,19.0,0.6721311475409836,0.0,61.0,Greed,GREED
